Type,Latitude,Longitude,Composite Risk,Distance to Waterway (m),Nearest Water Type,Height Above Nearest Drainage (m),Drainage Direction,Slope (degrees),Upstream Drainage Area (km^2),Elevation (m),Landform Type,Area (m^2),Population within 1 km,Population within 5 km,Population within 10 km,Soil Clay Fraction,Soil Sand Fraction,Fine Earth Density (kg / m^3),Soil Great Group,ID,Place Name
Confirmed,41.675,41.675,0.28,278,river,0,west,8.1,1.302,639,Lower slope,2349,4779,17897,27713,0.26,0.34,137,1,8f1ed4b5dc6ab63,"Cetushë, Tomin, Bashkia Dibër, Dibër County, Northern Albania, 8304, Albania"
Confirmed,41.318,41.318,0.23,527,canal,8,northwest,0.3,0.006,95,Lower slope,519,22392,314537,750648,0.25,0.33,149,0,8f1ed40301a38a4,"Rruga Fabrika e Qelqit, Njësia Bashkiake Nr. 6, Tiranë, Tirana Municipality, Tirana County, Central Albania, 1001-1028, Albania"
Confirmed,40.836,40.836,0.30,118,river,15,south,14.0,0.026,228,Lower slope (warm),1424,226,7783,11366,0.22,0.36,140,1,8f1ed465d72448a,"SH71, Pishaj, Bashkia Gramsh, Elbasan County, Central Albania, 3302, Albania"
Confirmed,41.269,41.269,0.33,54,river,1,southeast,1.3,0.006,118,Valley,1919,492,60950,527615,0.25,0.33,151,2,8f1ed4002605329,"Petrelë, Tirana Municipality, Tirana County, Central Albania, 1034, Albania"
Confirmed,40.472,40.472,0.31,172,canal,0,south,0.8,0.007,-1,Valley,1539,8905,70583,78087,0.23,0.38,136,3,8f1ed6a8c829a1b,"Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania"
Confirmed,41.327,41.327,0.17,1132,ditch,1,west,1.0,0.013,16,Lower slope (flat),464,1385,70957,175581,0.25,0.31,151,0,8f1ed41b461cd6c,"Rreth, Xhafzotaj, Bashkia Shijak, Durrës County, Northern Albania, 2019, Albania"
Confirmed,39.962,39.962,0.23,224,lake,21,west,4.7,0.046,85,Lower slope,1298,151,2228,17985,0.3,0.31,149,0,8f1ed04a00a3cd3,"Vergo, Bashkia Delvinë, Vlorë County, Southern Albania, 9720, Albania"
Confirmed,41.443,41.443,0.22,201,stream,15,south,8.2,0.084,61,Valley,400,491,8022,50280,0.28,0.31,146,3,8f1ed4c4cb54822,"Manëz, Bashkia Durrës, Durrës County, Northern Albania, 2011, Albania"
Confirmed,41.084,41.084,0.34,77,canal,1,south,3.7,0.006,87,Valley,4424,1218,62615,103805,0.24,0.36,145,0,8f1ed4760b82d0b,"Katund i Ri, Bradashesh, Elbasan municipality, Elbasan County, Central Albania, 3009, Albania"
Confirmed,42.070,42.070,0.26,585,river,113,northwest,7.9,0.025,404,Upper slope,8443,532,17403,25099,0.24,0.36,132,5,8f1ef3465d5e8b0,"Rruga Drini i Zi, Kukës, Bashkia Kukës, Kukës County, Northern Albania, 8501, Albania"
Confirmed,40.752,40.752,0.22,157,canal,2,north,0.5,0.007,10,Lower slope (flat),365,261,12056,85284,0.29,0.26,159,0,8f1ed6b6a4cb823,"Mbrostar Ura, Bashkia Fier, Fier County, Southern Albania, 9315, Albania"
Confirmed,41.051,41.051,0.17,695,canal,28,southwest,2.3,0.175,66,Lower slope (warm),287,953,10951,31075,0.27,0.37,153,1,8f1ed4730901aac,"Rruga Egnatia, Karinë, Bashkia Peqin, Elbasan County, Central Albania, 3506, Albania"
Confirmed,41.369,41.369,0.21,623,drain,1,east,0.4,0.006,-3,Lower slope (flat),1551,1119,60605,154521,0.28,0.32,148,2,8f1ed4c5275d986,"Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
Confirmed,40.256,40.256,0.19,434,drain,13,southeast,4.6,0.007,244,Lower slope (warm),795,63,4882,5854,0.28,0.33,144,1,8f1ed0193754814,"SH75, Qendër Piskovë, Përmet, Bashkia Përmet, Gjirokastër County, Southern Albania, 6405, Albania"
Confirmed,41.143,41.143,0.30,146,stream,6,southeast,2.3,0.006,160,Lower slope,2641,1281,15387,86744,0.26,0.36,155,2,8f1ed4382d514cd,"Griqan i Poshtëm, Labinot Fushë, Elbasan municipality, Elbasan County, Central Albania, 3010, Albania"
Confirmed,40.930,40.930,0.28,439,stream,2,east,0.9,0.006,9,Lower slope (flat),8601,4093,27959,50747,0.28,0.28,163,0,8f1ed47a29ae05b,"Lushnjë, Bashkia Lushnjë, Fier County, Southern Albania, 9001, Albania"
Confirmed,40.722,40.722,0.31,158,river,3,west,0.9,0.013,813,Valley,6275,172,7714,17291,0.23,0.4,141,1,8f1ed0842c31535,"Libonik, Bashkia Maliq, Korçë County, Southern Albania, 7021, Albania"
Confirmed,40.299,40.299,0.22,116,drain,6,southwest,2.5,0.007,178,Lower slope (warm),545,51,2297,3380,0.31,0.29,146,1,8f1ed0cc85a4749,"SH75, Mirovë (Mbrezhan), Mbrezhan, Këlcyrë, Bashkia Këlcyrë, Gjirokastër County, Southern Albania, 6402, Albania"
Confirmed,41.339,41.339,0.34,44,lake,12,southeast,1.8,0.006,100,Lower slope (warm),1182,6466,327568,739000,0.26,0.34,150,2,8f1ed4034106041,"Rruga Hani, Han (Mëzez), Kashar, Tirana Municipality, Tirana County, Central Albania, 1051, Albania"
Confirmed,41.801,41.801,0.17,971,river,35,west,8.4,0.032,206,Lower slope,2258,103,4704,7981,0.29,0.33,138,3,8f1ed495d79caee,"SH30, Ndërfan, Rrëshen, Bashkia Mirditë, Lezhë County, Northern Albania, 4601, Albania"
Confirmed,40.745,40.745,0.36,48,canal,1,northwest,0.6,0.007,11,Lower slope (flat),4145,2082,59368,87959,0.26,0.31,156,1,8f1ed6b73ae8195,"Qendër, Bashkia Fier, Fier County, Southern Albania, 9301-9305, Albania"
Confirmed,40.608,40.608,0.30,450,reservoir,6,northwest,2.6,0.007,863,Lower slope (flat),10747,4452,48759,58803,0.25,0.32,151,1,8f1ed0bb3b71949,"Rruga Banda Vatra, Korçë, Bashkia Korçë, Korçë County, Southern Albania, 7001, Albania"
Confirmed,40.480,40.480,0.28,197,stream,0,northwest,0.7,0.033,0,Lower slope (flat),627,11023,69533,78947,0.24,0.36,145,1,8f1ed6aab576314,"Vlora, Bashkia Vlorë, Vlorë County, Southern Albania, 9401-9403, Albania"
Confirmed,40.732,40.732,0.28,231,river,3,northwest,0.7,0.007,39,Lower slope (flat),4132,772,30281,62784,0.26,0.33,150,0,8f1ed468d79c6e0,"Otllak, Berat, Berat County, Southern Albania, 5010, Albania"
Confirmed,41.318,41.318,0.28,371,coastline,2,south,0.5,0.006,-1,Lower slope (flat),1377,11874,117779,169989,0.22,0.39,137,2,8f1ed4ceaad1199,"Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
Confirmed,40.719,40.719,0.14,926,stream,9,northeast,3.4,0.072,24,Lower slope,350,200,14185,92171,0.28,0.32,152,0,8f1ed6b430eb6e0,"Zharrëz, Bashkia Patos, Fier County, Southern Albania, 9317, Albania"
Confirmed,41.474,41.474,0.31,96,lake,32,north,6.4,0.006,94,Upper slope,2319,1080,21401,76692,0.26,0.36,149,1,8f1ed4123356649,"Fushë-Krujë, Kruje, Durrës County, Northern Albania, 1502, Albania"
Confirmed,41.328,41.328,0.29,140,canal,6,northeast,3.3,0.013,95,Lower slope,887,17185,409584,761983,0.27,0.38,148,1,8f1ed40354b166b,"Rruga Ëngjëll Mashi, Astir, Lagjja e Re (Mëzez), Kashar, Tirana Municipality, Tirana County, Central Albania, 1051, Albania"
Confirmed,41.545,41.545,0.13,837,ditch,4,southeast,2.2,0.006,8,Lower slope (warm),158,254,17403,56520,0.28,0.32,151,0,8f1ed488a940ad0,"Thumanë, Kruje, Durrës County, Northern Albania, 1503, Albania"
Confirmed,42.230,42.230,0.25,516,river,23,southwest,1.2,0.006,88,Upper slope (flat),3321,515,8644,14499,0.23,0.42,152,2,8f1ef2316810580,"Koplik, Bashkia Malësi e Madhe, Shkodër County, Northern Albania, 4301, Albania"
Confirmed,41.352,41.352,0.31,86,canal,0,east,0.5,0.006,-3,Lower slope (flat),1477,4765,102833,162939,0.28,0.29,146,1,8f1ed4cec542420,"Rruga Sulo Bogdo 2, Spitallë, Durrës, Bashkia Durrës, Durrës County, Northern Albania, 2001, Albania"
